标题,日期,来源,链接
贵州：抢滩数字经济“新蓝海” 实现高质量发展新跨越,发布时间：2024-08-24 18:14:50,来源：新闻,https://news.cctv.com/2024/08/24/ARTIuTdusTAmbtLRJ1Z1ffLm240824.shtml
善用增值评价，助力从“育分”转向“育人”,发布时间：2024-08-20 07:16:28,来源：新闻,https://news.cctv.com/2024/08/20/ARTIwDRFLPvWZnt6jwP8mj6w240820.shtml
特稿｜稳中有进 向新而行——世界看好中国经济的韧性与机遇,发布时间：2024-08-17 11:02:40,来源：经济,https://jingji.cctv.com/2024/08/17/ARTIpiInchURK7CZRqnww2DH240817.shtml
天猫精灵发布新品牌“哇哦”及旗舰产品闺蜜机,发布时间：2024-08-06 17:44:55,来源：生态环境频道,https://eco.cctv.com/2024/08/06/ARTIFyIm4tJHqzpMlhLu4o3a240806.shtml
“小包裹”撬动全球大市场,发布时间：2024-08-06 11:38:05,来源：经济,https://jingji.cctv.com/2024/08/06/ARTIfi5I2eYHmdaWahKaCnCQ240806.shtml
瞭望·治国理政纪事｜加快建设服务全国的南繁硅谷,发布时间：2024-07-28 20:50:30,来源：新闻,https://news.cctv.com/2024/07/28/ARTI4vMflQJWM83iKBwDzvfh240728.shtml
新高！中央广播电视总台巴黎奥运会营销再创奥运纪录,发布时间：2024-07-21 17:38:38,来源：总台之声,https://www.cctv.com/2024/07/21/ARTI4e1Uvle8dCsZZd4FeEZM240721.shtml
买5台家电要下4个APP管理？破解智能家居联通难题,发布时间：2024-07-19 16:27:34,来源：产业+,https://business.cctv.com/2024/07/19/ARTIHXlu1pxC4YUahIMwgi6K240719.shtml
“中国制造”闪耀国际体育赛事,发布时间：2024-07-16 10:50:38,来源：新闻,https://news.cctv.com/2024/07/16/ARTI8OaAwI7CAKd6IzHNsjm9240716.shtml
世界互联网大会国际组织在京举办开放日活动,发布时间：2024-07-12 08:19:22,来源：新闻,https://news.cctv.com/2024/07/12/ARTI1dq07X3XL43JW47htwEK240712.shtml
制造业数字化转型之问三：如何突破产业升级技术之困？,发布时间：2024-07-11 17:34:35,来源：新闻,https://news.cctv.com/2024/07/11/ARTID9kRUfUeOraRlK1CHNV1240711.shtml
焦点访谈：以人为本 智能向善,发布时间：2024-07-06 21:37:34,来源：新闻,https://news.cctv.com/2024/07/06/ARTIZqkfe52JEI1BX0h2V5KU240706.shtml
中国人工智能人才数量大幅增长,发布时间：2024-07-06 16:12:58,来源：新闻,https://news.cctv.com/2024/07/06/ARTIswgd9GTm4p1sAVO27Gax240706.shtml
媒体探展｜WAIC 2024开幕，亮点多多！,发布时间：2024-07-04 15:14:25,来源：产业+,https://business.cctv.com/2024/07/04/ARTI0IOfdXHwzlC5zE1cXtxY240704.shtml
“创投十七条”后时代 新质生产力的风口到底在哪些角落？,发布时间：2024-07-03 10:17:33,来源：经济,https://jingji.cctv.com/2024/07/03/ARTI6p1YiKqUHDgmNFyOCUNI240703.shtml
2024高招进行时｜北京语言大学：服务国家战略、满足社会需求，新增1个实验班，4个联合学士学位，6个新专业,发布时间：2024-06-29 06:54:50,来源：教育,https://edu.cctv.com/2024/06/29/ARTIl651YgZQxyBJHsgzwzI3240629.shtml
新华深读｜老字号焕新：“和100多年前的人用同款”，是一种什么样的体验？,发布时间：2024-06-27 11:25:51,来源：新闻,https://news.cctv.com/2024/06/27/ARTIIoiAPKLgePQongu3CwWo240627.shtml
外交部驻澳公署组织外国领事官员访问浙江,发布时间：2024-06-24 06:19:04,来源：新闻,https://news.cctv.com/2024/06/24/ARTIhxqf2YAkx67OkeV95FO4240624.shtml
动辄上万元的高考志愿咨询，真能帮考生规划未来？,发布时间：2024-06-21 11:42:08,来源：新闻,https://news.cctv.com/2024/06/21/ARTIsQnrrzVguXzNoyfF82SE240621.shtml
WAIC 2024大模型合辑 | 从“魔都”到“模都”，构建大模型创新策源地，开启“模力”新纪元,发布时间：2024-06-21 11:27:30,来源：产业+,https://business.cctv.com/2024/06/21/ARTIaKIYJ6WLEfnKpSg7zhdS240619.shtml
2024高招进行时｜华东理工大学：实施跨学科交叉融合、多样人才培养模式，打造新时代高层次工程人才“样板间”,发布时间：2024-06-19 21:19:47,来源：教育,https://edu.cctv.com/2024/06/19/ARTI0RdgCBpAzDl5ZPnqzG2R240619.shtml
杭州“最长一横”隧道通车 绕城范围内快速路网断点全部打通,发布时间：2024-06-18 19:27:28,来源：央视网报,https://city.news.cctv.com/2024/06/18/ARTI1wV8iZTNJ4WdqR6mlYkm240618.shtml
WAIC 2024数据合辑｜加“数”前行，数据产业驱动AI创新发展,发布时间：2024-06-18 15:43:05,来源：产业+,https://business.cctv.com/2024/06/18/ARTIPeQt5dKmsv86RirHFcZc240618.shtml
达摩院回应“曾要求姜萍再次答题”：没那回事！,发布时间：2024-06-18 14:20:35,来源：新闻,https://news.cctv.com/2024/06/18/ARTI4d2KmS1rs1XBsycBATTi240618.shtml
多所高校向姜萍抛来橄榄枝，为何是欢迎报考而非破格录取,发布时间：2024-06-17 17:43:32,来源：新闻,https://news.cctv.com/2024/06/17/ARTIuIzscRQdOtK2Da9arrAh240617.shtml
WAIC 2024智能终端合辑 | 万物有“灵”，AI智能终端加速演进新未来,发布时间：2024-06-17 10:34:50,来源：产业+,https://business.cctv.com/2024/06/17/ARTIFVnoQw0F5wHLxWYh0toN240614.shtml
WAIC 2024金融合辑｜点“智”成金，“智”资融汇，AI金融相互赋能、共生发展,发布时间：2024-06-17 10:34:44,来源：产业+,https://business.cctv.com/2024/06/17/ARTIsBcLCM2qVHbbjSc8E3e9240614.shtml
同进数学竞赛决赛的博士生曝比赛细节 赞“姜萍厉害”,发布时间：2024-06-15 07:01:27,来源：新闻,https://people.cctv.com/2024/06/15/ARTIyxCIsNviC0XGVPihujYk240615.shtml
跨境电商贸易规模增长超10倍！这个“仓”不一般,发布时间：2024-06-15 06:30:04,来源：新闻,https://news.cctv.com/2024/06/15/ARTIT6jACKtV8EBURNLoDyBx240615.shtml
爆冷杀入数学竞赛决赛的中专女生：梦想就是考大学,发布时间：2024-06-14 06:31:22,来源：新闻,https://people.cctv.com/2024/06/14/ARTI9ifiY89RgVKSwabOISV9240614.shtml
43.42亿美元花开“浙”里，2024浙江·台湾合作周精彩启幕,发布时间：2024-06-13 19:58:35,来源：地方频道,https://local.cctv.com/2024/06/13/ARTIjLZqufnaVsXfG31UhiaP240613.shtml
17岁中专女生、全球数学竞赛第12名 她怎么做到的,发布时间：2024-06-13 18:56:14,来源：新闻,https://people.cctv.com/2024/06/13/ARTIUoiYFfrv9gASLtrVRaao240613.shtml
WAIC 2024倒计时30天发布会顺利召开，主视觉及主题发布！,发布时间：2024-06-06 15:23:02,来源：产业+,https://business.cctv.com/2024/06/06/ARTIvbJYKjfZbZMdBB9UZVoc240606.shtml
在长三角，寻找温州的“地瓜”藤蔓,发布时间：2024-06-06 14:55:25,来源：地方频道,https://local.cctv.com/2024/06/06/ARTIjpzZAW5NtPSV5FYAAPXU240606.shtml
智能家居联通难题如何破解？,发布时间：2024-06-05 06:14:45,来源：新闻,https://news.cctv.com/2024/06/05/ARTI1VYydezjvzudLqeGKVq0240605.shtml
第二十届中国国际动漫节将呈现六大亮点,发布时间：2024-05-29 14:40:10,来源：教育,https://edu.cctv.com/2024/05/29/ARTIUnTTRQNqX1QRvC0AvYmL240529.shtml
淘宝卖家发空包后跑路，预防卖家跑路，淘宝采取的防范措施，为何失效？,发布时间：2024-05-29 11:34:10,来源：新闻,https://news.cctv.com/2024/05/29/ARTIvfOBRlcQiXWrLuZX7jIv240529.shtml
6个关键词回顾第七届数字中国建设峰会,发布时间：2024-05-29 10:32:06,来源：地方频道,https://local.cctv.com/2024/05/29/ARTIicYHbebkRlF3agOEHGuL240529.shtml
科技赋能，文化产业添魅力,发布时间：2024-05-28 16:32:38,来源：新闻,https://news.cctv.com/2024/05/28/ARTI4h498OcFVKdQbbmiJcz5240528.shtml
在变与不变中探寻发展密码,发布时间：2024-05-28 11:29:49,来源：福建频道,https://local.cctv.com/2024/05/28/ARTIIKVS7ukb8r3YgdZ1KMFf240528.shtml
“2024·全国文化企业30强”发布 杭州入选数量位列全国第三,发布时间：2024-05-27 16:21:36,来源：地方频道,https://local.cctv.com/2024/05/27/ARTIZzsusNZ1SgmnHZKW7Sdc240527.shtml
福州长乐：打造创新“强磁场” 汇聚发展“新”动能,发布时间：2024-05-27 10:14:11,来源：福建频道,https://local.cctv.com/2024/05/27/ARTIRY6ovNTzk1Xfndow0H1t240527.shtml
数字峰会专题报道⑰丨发挥数据要素乘数效应 数字中国建设峰会发布三部白皮书,发布时间：2024-05-25 00:50:03,来源：福建频道,https://local.cctv.com/2024/05/25/ARTIuYvagAm6BBRnhuhjbyKU240524.shtml
想开网约车，难了,发布时间：2024-05-22 10:06:16,来源：新闻,https://news.cctv.com/2024/05/22/ARTINoHo15cDZ38tzi0W2YTn240522.shtml
感受数字未来，第七届数字中国建设峰会现场体验区等你来！,发布时间：2024-05-20 16:44:22,来源：产业+,https://business.cctv.com/2024/05/20/ARTIEWwufE63aUgglWZcGMWG240520.shtml
陕西省跨境电商产业高质量发展大会在西安高新区举行,发布时间：2024-05-16 22:53:18,来源：地方频道,https://local.cctv.com/2024/05/16/ARTIKgZnPO742w0vzoWMXcmJ240516.shtml
漳州长福村：百花村里百花香,发布时间：2024-05-08 10:44:12,来源：福建频道,https://local.cctv.com/2024/05/08/ARTIFGjj5Y9Srme2erZvC9ms240508.shtml
就业新平台 跨境电商屡现“抢人大战”,发布时间：2024-05-05 06:57:10,来源：新闻,https://news.cctv.com/2024/05/05/ARTI9FkjAkxgVQwl0vh7p3im240505.shtml
跨境电商屡现“抢人大战” 稀缺的不只是主播,发布时间：2024-05-05 06:33:13,来源：新闻,https://news.cctv.com/2024/05/05/ARTIfCykEFM9g3BiatuuBrCY240505.shtml
“五一”微观察：AI在职场中的这些应用你了解吗？,发布时间：2024-05-03 23:31:33,来源：新闻,https://news.cctv.com/2024/05/03/ARTI8zDyeLJSt7k0s5dzutZ9240503.shtml
福建大数据产业点“数”成金,发布时间：2024-04-30 10:27:45,来源：福建频道,https://local.cctv.com/2024/04/30/ARTIzSXP7fSLHIMMPuJQT8B0240430.shtml
联合国工业发展组织第四次工业革命产业加速器（杭州）揭牌仪式暨中德产业对接会在杭举办,发布时间：2024-04-22 13:01:48,来源：产业+,https://business.cctv.com/2024/04/22/ARTIk3612Jia2VZPkMwu8g4p240422.shtml
以礼会友｜珀莱雅：岁月凝华，科学护肤,发布时间：2024-04-21 22:37:43,来源：产业+,https://business.cctv.com/2024/04/21/ARTITrAqeWRn4PNvcICibTXq240418.shtml
向“新”而行，三份榜单看“江宁突破”,发布时间：2024-04-15 14:58:37,来源：地方频道,https://local.cctv.com/2024/04/15/ARTIKhfMku0TsBOsnMWI3FfH240415.shtml
马来西亚学者：“一带一路”是通往未来的门户,发布时间：2024-04-11 15:41:46,来源：新闻,https://news.cctv.com/2024/04/11/ARTIipNYKfZ35LMS5JZYqCgJ240411.shtml
2024陕西跨境电商高质量发展大会在西安高新区举行,发布时间：2024-04-10 17:56:43,来源：地方频道,https://local.cctv.com/2024/04/10/ARTIKFykCFb9H6WtzCFQNEVd240410.shtml
世界互联网大会举办2024年领先科技奖及实践案例宣介会,发布时间：2024-04-10 09:12:04,来源：新闻,https://news.cctv.com/2024/04/10/ARTIIGNgj5oVTQD1k2Vmtb0E240410.shtml
世界互联网大会数字丝路发展论坛将在西安举办,发布时间：2024-04-09 16:39:43,来源：地方频道,https://local.cctv.com/2024/04/09/ARTIVZrY3iBTDjPxrso3oscX240409.shtml
深圳首季跨境电商进出口超千亿元,发布时间：2024-04-09 15:26:38,来源：地方频道,https://local.cctv.com/2024/04/09/ARTI2gdbzmIOdR5K4jtwsREd240409.shtml
2024上海全球投资促进大会举行 龚正致辞,发布时间：2024-03-30 09:41:42,来源：新闻,https://news.cctv.com/2024/03/30/ARTIEE7NwmQJbTdEsFAAJVQ5240330.shtml
世界互联网大会数字丝路发展论坛将于4月16日在西安举行,发布时间：2024-03-28 20:31:29,来源：新闻,https://news.cctv.com/2024/03/28/ARTIsvFS3pxY5h6UUcm93HTr240328.shtml
“县”在出发——行走百县话振兴 | 秦岭深处蕴“网”情 奋起路上的佛坪故事,发布时间：2024-03-28 13:27:57,来源：新闻,https://news.cctv.com/2024/03/28/ARTICFJQrDCfoFkJ3bT79Ey8240328.shtml
廉毅敏在杭州调研时强调 加快发展新质生产力培育高质量发展新动能,发布时间：2024-03-28 11:46:52,来源：新闻,https://news.cctv.com/2024/03/28/ARTItosx6yk5X8PBcpM011qw240328.shtml
